"manyID","treatyID","stateID","Title","Begin","End","Signature","Force","stateSignature","stateRat","stateForce","stateForce2","stateForce3","Term","stateWithdrawal","stateWithdrawal2","gengID","ecolexID","ieaID","Comments","Deposit","obsolete","ProvisionalApp","Reservation","verified","Notes","stateForce_ecolex","stateForce_iea","Consent","Acceptance","Accession","Changes_HUGGO","Verified_HUGGO","Checked_HUGGO","Succession"
"PW05MW_1925P","PW05MW_1925P","CHL","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17",NA,"1925-06-17","1928-02-08","1925-06-17","1935-07-02","1935-07-02",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1935-07-02","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","DEU","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17",NA,"1925-06-17","1928-02-08","1925-06-17","1929-04-25","1929-04-25",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1929-04-25","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","DNK","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17",NA,"1925-06-17","1928-02-08","1925-06-17","1930-05-05","1930-05-05",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1930-05-05","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","EGY","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17",NA,"1925-06-17","1928-02-08","1925-06-17","1928-12-06","1928-12-06",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1928-12-06","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","ESP","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17",NA,"1925-06-17","1928-02-08","1925-06-17","1929-08-22","1929-08-22",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1929-08-22","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","EST","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1931-08-28","1931-08-28",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1931-08-28","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","ETH","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1935-10-07","1935-10-07",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1935-10-07","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","FIN","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1929-06-26","1929-06-26",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1929-06-26","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","FRA","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1926-05-10","1928-02-08",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1926-05-10","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","GBR","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1930-04-09","1930-04-09",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1930-04-09","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","GRC","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1931-05-30","1931-05-30",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1931-05-30","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
